#Source		https://www.worldometers.info/geography/alphabetical-list-of-countries/
#Date	2023-12-10
#Key	Index	Country	Population (2023)	Land Area (Km²)	Density (P/Km²)
129	North Macedonia	2,085,679	25,220	83
130	Norway	5,474,360	365,268	15
131	Oman	4,644,384	309,500	15
132	Pakistan	240,485,658	770,880	312
133	Palau	18,058	460	39
134	Palestine State	5,371,230	6,020	892
135	Panama	4,468,087	74,340	60
136	Papua New Guinea	10,329,931	452,860	23
137	Paraguay	6,861,524	397,300	17
138	Peru	34,352,719	1,280,000	27
139	Philippines	117,337,368	298,170	394
140	Poland	41,026,067	306,230	134
141	Portugal	10,247,605	91,590	112
142	Qatar	2,716,391	11,610	234
143	Romania	19,892,812	230,170	86
144	Russia	144,444,359	16,376,870	9
145	Rwanda	14,094,683	24,670	571
146	Saint Kitts and Nevis	47,755	260	184
147	Saint Lucia	180,251	610	295
148	Saint Vincent and the Grenadines	103,698	390	266
149	Samoa	225,681	2,830	80
150	San Marino	33,642	60	561
151	Sao Tome and Principe	231,856	960	242
152	Saudi Arabia	36,947,025	2,149,690	17
153	Senegal	17,763,163	192,530	92
154	Serbia	7,149,077	87,460	82
155	Seychelles	107,660	460	234
156	Sierra Leone	8,791,092	72,180	122
157	Singapore	6,014,723	700	8,592
158	Slovakia	5,795,199	48,088	121
159	Slovenia	2,119,675	20,140	105
160	Solomon Islands	740,424	27,990	26
161	Somalia	18,143,378	627,340	29
162	South Africa	60,414,495	1,213,090	50
163	South Korea	51,784,059	97,230	533
164	South Sudan	11,088,796	610,952	18
165	Spain	47,519,628	498,800	95
166	Sri Lanka	21,893,579	62,710	349
167	Sudan	48,109,006	1,765,048	27
168	Suriname	623,236	156,000	4
169	Sweden	10,612,086	410,340	26
170	Switzerland	8,796,669	39,516	223
171	Syria	23,227,014	183,630	126
172	Tajikistan	10,143,543	139,960	72
173	Tanzania	67,438,106	885,800	76
174	Thailand	71,801,279	510,890	141
175	Timor-Leste	1,360,596	14,870	91
176	Togo	9,053,799	54,390	166
177	Tonga	107,773	720	150
178	Trinidad and Tobago	1,534,937	5,130	299
179	Tunisia	12,458,223	155,360	80
180	Turkey	85,816,199	769,630	112
181	Turkmenistan	6,516,100	469,930	14
182	Tuvalu	11,396	30	380
183	Uganda	48,582,334	199,810	243
184	Ukraine	36,744,634	579,320	63
185	United Arab Emirates	9,516,871	83,600	114
186	United Kingdom	67,736,802	241,930	280
187	United States of America	339,996,563	9,147,420	37
188	Uruguay	3,423,108	175,020	20
189	Uzbekistan	35,163,944	425,400	83
190	Vanuatu	334,506	12,190	27
191	Venezuela	28,838,499	882,050	33
192	Vietnam	98,858,950	310,070	319
193	Yemen	34,449,825	527,970	65
194	Zambia	20,569,737	743,390	28
195	Zimbabwe	16,665,409	386,850	43
